~No.overall~No. inseason~Title~Directed by~Written by~Original air date~Prod.code~U.S. viewers(millions)~season~Rating(18–49)~Rating/share(18–49)~Special No.~U.S. viewersmillions
172~179~9~The One With The Rumor~Gary Halvorson~Shana Goldberg-Meehan~November 22, 2001~227410.0~24.24~9~~11.1/31~~
173~180~10~The One With Monica'S Boots~Kevin S. Bright~Story by : Robert CarlockTeleplay by : Brian Buckner & Sebastian Jones~December 6, 2001~227409.0~22.44~9~~~~
174~181~11~The One With Ross'S Step Forwardthe One With The Creepy Holiday Card~Gary Halvorson~Robert Carlock~December 13, 2001~227411.0~23.85~9~~11.4/32~~
175~182~12~The One Where Joey Dates Rachel~David Schwimmer~Sherry Bilsing-Graham & Ellen Plummer~January 10, 2002~227412.0~25.53~9~~~~
176~183~13~The One Where Chandler Takes A Bath~Ben Weiss~Vanessa McCarthy~January 17, 2002~227413.0~29.24~9~~~~
177~184~14~The One With The Secret Closet~Kevin S. Bright~Brian Buckner & Sebastian Jones~January 31, 2002~227414.0~28.64~9~~14.2/37~~
178~185~15~The One With The Birthing Video~Kevin S. Bright~Dana Klein Borkow~February 7, 2002~227415.0~28.64~9~~14.5/37~~
179~186~16~The One Where Joey Tells Rachel~Ben Weiss~Andrew Reich & Ted Cohen~February 28, 2002~227416.0~27.52~9~~13.2/33~~
180~187~17~The One With The Tea Leaves~Gary Halvorson~Story by : R. Lee Fleming Jr.Teleplay by : Steven Rosenhaus~March 7, 2002~227417.0~26.30~9~~12.4/32~~
181~188~18~The One In Massapequathe One With The Zesty Guy~Gary Halvorson~Story by : Peter TibbalsTeleplay by : Mark Kunerth~March 28, 2002~227418.0~22.05~9~~10.5/30~~
182~189~19~The One With Joey'S Interview~Gary Halvorson~Doty Abrams~April 4, 2002~227424.0~22.59~9~~~~
183~190~20~The One With The Baby Shower~Kevin S. Bright~Sherry Bilsing-Graham & Ellen Plummer~April 25, 2002~227421.0~22.24~9~~10.7/29~~
184~191~21~The One With The Cooking Class~Gary Halvorson~Story by : Dana Klein BorkowTeleplay by : Brian Buckner & Sebastian Jones~May 2, 2002~227419.0~23.97~9~~11.7/32~~
185~192~22~The One Where Rachel Is Late~Gary Halvorson~Shana Goldberg-Meehan~May 9, 2002~227420.0~24.31~9~~11.7/33~~
186~193194~2324~The One Where Rachel Has A Baby~Kevin S. Bright~Scott SilveriMarta Kauffman & David Crane~May 16, 2002~227422227423.0~34.91~9~~17.0/44~~
187~195~1~The One Where No One Proposes~Kevin S. Bright~Sherry Bilsing-Graham & Ellen Plummer~September 26, 2002~175251.0~34.01~10~~~~
188~196~2~The One Where Emma Cries~Sheldon Epps~Dana Klein Borkow~October 3, 2002~175252.0~28.93~10~~~~
